timestamp,influent_temp,backwash_pressure,influent_pressure,effluent_weight,backwash_weight
1751379252.544669,20.5,3.21,3.21,123.45,54.32
1751379252.8479707,20.5,3.21,3.21,123.45,54.32
1751379253.2491872,20.5,3.21,3.21,123.45,54.32
1751379253.5500853,20.5,3.21,3.21,123.45,54.32
1751379253.851566,20.5,3.21,3.21,123.45,54.32
1751379254.1527245,20.5,3.21,3.21,123.45,54.32
1751379254.4541876,20.5,3.21,3.21,123.45,54.32
1751379254.7556021,20.5,3.21,3.21,123.45,54.32
1751379255.0572798,20.5,3.21,3.21,123.45,54.32
1751379255.3587875,20.5,3.21,3.21,123.45,54.32
