timestamp,influent_temp,backwash_pressure,influent_pressure,effluent_weight,backwash_weight
1751379259.4884558,20.5,3.21,3.21,123.45,54.32
1751379259.7905436,20.5,3.21,3.21,123.45,54.32
1751379260.192477,20.5,3.21,3.21,123.45,54.32
1751379260.4934773,20.5,3.21,3.21,123.45,54.32
1751379260.7951727,20.5,3.21,3.21,123.45,54.32
1751379261.09672,20.5,3.21,3.21,123.45,54.32
1751379261.3983612,20.5,3.21,3.21,123.45,54.32
1751379261.7026746,20.5,3.21,3.21,123.45,54.32
1751379262.0040493,20.5,3.21,3.21,123.45,54.32
1751379262.3051891,20.5,3.21,3.21,123.45,54.32
