timestamp,influent_temp,backwash_pressure,influent_pressure,effluent_weight,backwash_weight
1751384710.469322,20.5,3.21,3.21,123.45,54.32
1751384710.770034,20.5,3.21,3.21,123.45,54.32
1751384711.1718714,20.5,3.21,3.21,123.45,54.32
1751384711.4728296,20.5,3.21,3.21,123.45,54.32
1751384711.7744665,20.5,3.21,3.21,123.45,54.32
1751384712.0756776,20.5,3.21,3.21,123.45,54.32
1751384712.3771598,20.5,3.21,3.21,123.45,54.32
1751384712.678727,20.5,3.21,3.21,123.45,54.32
1751384712.9796574,20.5,3.21,3.21,123.45,54.32
1751384713.2814174,20.5,3.21,3.21,123.45,54.32
